Timestamp,Emotion,Gaze,Score,Blink Rate,Yaw
2026-01-08 01:59:14,No Face,No Face,100,0,0
2026-01-08 01:59:14,No Face,No Face,100,0,0
2026-01-08 01:59:14,No Face,No Face,100,0,0
2026-01-08 01:59:15,No Face,No Face,100,0,0
2026-01-08 01:59:15,No Face,No Face,100,0,0
2026-01-08 01:59:15,No Face,No Face,100,0,0
2026-01-08 01:59:16,No Face,No Face,100,0,0
2026-01-08 01:59:16,No Face,No Face,100,0,0
2026-01-08 01:59:16,No Face,No Face,100,0,0
2026-01-08 01:59:17,No Face,No Face,100,0,0
2026-01-08 01:59:17,No Face,No Face,100,0,0
2026-01-08 01:59:17,No Face,No Face,100,0,0
2026-01-08 01:59:18,No Face,No Face,100,0,0
2026-01-08 01:59:18,No Face,No Face,100,0,0
2026-01-08 01:59:19,No Face,No Face,100,0,0
2026-01-08 01:59:19,No Face,No Face,100,0,0
2026-01-08 01:59:20,No Face,No Face,100,0,0
2026-01-08 01:59:20,No Face,No Face,100,0,0
2026-01-08 01:59:20,No Face,No Face,100,0,0
2026-01-08 01:59:20,No Face,No Face,100,0,0
2026-01-08 01:59:21,Surprise,No Face,100,0,0
